"id","created","salarymx","salaryusd","extramx","extrausd","variation","english_num","english_label","age","experience","seniority","country","city","profile","edutype","orgtype","emptype","remote","gender","education","act_dba","act_req","act_arq","act_bi","act_cap","act_datascience","act_spi","act_cons","act_prog","act_mobile","act_front","act_devrel","act_dir","act_doc","act_techwrite","act_infra","act_erp","act_dataeng","act_techsales","act_pm","act_iot","act_infosec","act_soporte","act_test","act_uxd","act_ventas","lang_bash","lang_csharp","lang_clang","lang_cobol","lang_delphi","lang_elixir","lang_go","lang_groovy","lang_java","lang_js","lang_kotlin","lang_perl","lang_php","lang_plsql","lang_python","lang_ruby","lang_rust","lang_scala","lang_swift","lang_vbnet","mobile_phonegap","mobile_flutter","mobile_ionic","mobile_java_android","mobile_java_kotlin","mobile_objc","mobile_reactnative","mobile_swift","mobile_xamarin","front_angular","front_django","front_laravel","front_nextjs","front_react","front_ror","front_semanticui","front_springboot","front_svelte","front_vue","front_xamarin","db_dynamo","db_cosmos","db_cassandra","db_elastic","db_firebasert","db_firestore","db_DB2","db_sqlserver","db_mongoDB","db_mysql","db_neo4j","db_oracle","db_pgsql","db_redis","db_sap","db_snowflake","dsc_alteryx","dsc_sagemaker","dsc_azureml","dsc_dataiku","dsc_datarobot","dsc_domino","dsc_h2o","dsc_spss","dsc_watson","dsc_julia","dsc_keras","dsc_knime","dsc_matlab","dsc_pytorch","dsc_rlang","dsc_rapidminer","dsc_sas","dsc_scikit","dsc_tf","dataeng_athena","dataeng_airflow","dataeng_beam","dataeng_spark","dataeng_databand","dataeng_dbt","dataeng_fivetran","dataeng_greatexp","dataeng_hadoop","dataeng_keboola","infra_ansible","infra_chef","infra_consul","infra_datadog","infra_docker","infra_dynatrace","infra_istio","infra_jenkins","infra_k8s","infra_newrelic","infra_oshift","infra_ostack","infra_puppet","infra_spinnaker","infra_terraform","infra_vmware","cert_agile","cert_android","cert_awsdev","cert_awsarch","cert_ba","cert_cisco","cert_cobit","cert_entarch","cert_cgeit","cert_gcloudarch","cert_gdata","cert_gweb","cert_itilint","cert_itilpra","cert_java","cert_linux","cert_msass","cert_msexp","cert_oracle","cert_pmp","cert_sap","cert_scrum","cert_infosec","cert_sixsigma","cert_testing2","cert_testing1","ben_equity","ben_car","ben_family","ben_edu","ben_bonus","ben_housing","ben_parking","ben_gas","ben_gym","ben_flexhours","ben_homeoffice","ben_loan","ben_healthmajor","ben_healthminor","ben_lifeins","ben_cafeteria","ben_cellphone","ben_vouchers","covid_remoto","covid_salario","covid_carga","covid_apoyo","vacaciones","aguinaldo"
4347,"2022-01-07 01:45:43.719585000",300000,0,0,0,5,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),32,10,6,México,Monterrey,godin,escuela,startup,nomina,Y,hombre,universidad,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,Y,,Y,,,,,,remote,bajatemp,Igual,computadora,,
4348,"2022-01-10 15:04:51.612234000",27000,0,15000,0,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),26,2,1,México,Zacatecas,godin,escuela,itservices,nomina,Y,hombre,pasante,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,Y,,,,,,Y,Y,Y,Y,Y,Y,,,Y,remote,bajatemp,aumentado,"['computadora', 'muebles', 'internet']",,
4353,"2022-01-11 09:49:45.513224000",0,7500,0,0,10,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),35,10,1,Canada,Campeche,independiente,autodidacta,startup,nomina,Y,hombre,universidad,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,Y,,,,,,,,,,,,,,Y,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,remote,,,,,
4354,"2022-01-11 09:49:48.224634000",0,7500,0,0,10,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),35,10,1,Canada,Campeche,independiente,autodidacta,startup,nomina,Y,hombre,universidad,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,Y,,,,,,,,,,,,,,Y,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,remote,,,,,
4355,"2022-01-11 10:01:04.424040000",0,1400,0,0,0,1,Elemental: Sé lo básico para sobrevivir (ILR 1),22,1,1,España,Sevilla,godin,escuela,itservices,nomina,N,hombre,tecnica,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,remote,,,computadora,,
4356,"2022-01-11 10:02:45.504675000",0,11500,0,200000,40,5,Nativo o bilingue (ILR 5),43,21,1,Otro,Basel,godin,escuela,isv,nomina,Y,mujer,maestria,,,,,,,,,,,,Y,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,Y,Y,,,,,,,,remote,,,,,
4357,"2022-01-11 11:20:36.751354000",39000,0,60000,0,73,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),33,6,3,México,Puebla,godin,escuela,isv,nomina,Y,hombre,universidad,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,,,Y,remote,,,"['computadora', 'muebles', 'internet']",,
4358,"2022-01-11 11:23:21.227827000",60000,0,300000,0,22,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),23,2,1,México,Valle de México,godin,online,corp,nomina,N,hombre,tecnica,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,Y,Y,,Y,,,,remote,,,,,
4359,"2022-01-11 11:23:42.646338000",0,1300,0,600,10,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),50,23,17,Argentina,Rio Gallegos,docente,escuela,gobierno,nomina,N,hombre,universidad,Y,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,semipresencial,,,,,
4360,"2022-01-11 11:33:54.997624000",0,1200,0,300,10,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),34,10,7,Colombia,Bogotá,godin,escuela,itservices,nomina,N,hombre,universidad,,,,Y,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,,,,,,,,Y,,,Y,,,,,Y,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,Y,Y,,,,,,,remote,,,computadora,,
